Date,Symbol,Close,mom,yoy
30-11-2020,ALUMINIUM    ,167.05,,
31-12-2020,ALUMINIUM    ,167.75,0.004190362,
29-01-2021,ALUMINIUM    ,167.25,-0.002980626,
26-02-2021,ALUMINIUM    ,179.9,0.075635277,
31-03-2021,ALUMINIUM    ,180.85,0.005280712,
30-04-2021,ALUMINIUM    ,198,0.09482997,
31-05-2021,ALUMINIUM    ,195.5,-0.012626263,
30-06-2021,ALUMINIUM    ,199.85,0.022250639,
30-07-2021,ALUMINIUM    ,206.85,0.03502627,
31-08-2021,ALUMINIUM    ,215.9,0.043751511,
30-09-2021,ALUMINIUM    ,234.3,0.085224641,
29-10-2021,ALUMINIUM    ,229.15,-0.021980367,
30-11-2021,ALUMINIUM    ,218.65,-0.045821514,0.308889554
31-12-2021,ALUMINIUM    ,232.85,0.064943974,0.388077496
31-01-2022,ALUMINIUM    ,251,0.077947176,0.500747384
28-02-2022,ALUMINIUM    ,279.85,0.114940239,0.555586437
31-03-2022,ALUMINIUM    ,297.25,0.062176166,0.643627315
29-04-2022,ALUMINIUM    ,264.05,-0.111690496,0.333585859
31-05-2022,ALUMINIUM    ,245.95,-0.068547624,0.258056266
30-06-2022,ALUMINIUM    ,218.4,-0.112014637,0.092819615
21-07-2022,ALUMINIUM    ,210.5,-0.036172161,0.017645637
30-11-2020,CARDAMOM     ,1500,,
31-12-2020,CARDAMOM     ,1500,0,
29-01-2021,CARDAMOM     ,1500,0,
26-02-2021,CARDAMOM     ,1500,0,
31-03-2021,CARDAMOM     ,1450,-0.033333333,
30-04-2021,CARDAMOM     ,1450,0,
31-05-2021,CARDAMOM     ,1650,0.137931034,
30-06-2021,CARDAMOM     ,1450,-0.121212121,
30-07-2021,CARDAMOM     ,1450,0,
30-11-2020,CASTORSEED   ,4130,,
31-12-2020,CASTORSEED   ,4200,0.016949153,
29-01-2021,CASTORSEED   ,4400,0.047619048,
26-02-2021,CASTORSEED   ,4600,0.045454545,
30-11-2020,COPPER       ,582.3,,
31-12-2020,COPPER       ,604.15,0.037523613,
29-01-2021,COPPER       ,603.7,-0.000744848,
26-02-2021,COPPER       ,716.15,0.186268014,
31-03-2021,COPPER       ,679.5,-0.05117643,
30-04-2021,COPPER       ,766.95,0.128697572,
31-05-2021,COPPER       ,767.45,0.000651933,
30-06-2021,COPPER       ,720.7,-0.060916021,
30-07-2021,COPPER       ,760.4,0.055085334,
31-08-2021,COPPER       ,723.85,-0.048066807,
30-09-2021,COPPER       ,714.4,-0.013055191,
29-10-2021,COPPER       ,760,0.063829787,
30-11-2021,COPPER       ,741.2,-0.024736842,0.272883393
31-12-2021,COPPER       ,752.65,0.015447922,0.245799884
31-01-2022,COPPER       ,750.75,-0.002524414,0.243581249
28-02-2022,COPPER       ,776.95,0.034898435,0.084898415
31-03-2022,COPPER       ,821.3,0.05708218,0.208682855
29-04-2022,COPPER       ,791.75,-0.035979545,0.032335876
31-05-2022,COPPER       ,781.05,-0.013514367,0.017721024
30-06-2022,COPPER       ,704.7,-0.097753025,-0.022200638
21-07-2022,COPPER       ,622.85,-0.116148716,-0.180891636
30-11-2020,COTTON       ,20060,,
31-12-2020,COTTON       ,20240,0.008973081,
29-01-2021,COTTON       ,20860,0.030632411,
26-02-2021,COTTON       ,21960,0.052732502,
31-03-2021,COTTON       ,21560,-0.018214936,
30-04-2021,COTTON       ,22050,0.022727273,
31-05-2021,COTTON       ,23110,0.048072562,
30-06-2021,COTTON       ,24710,0.069234098,
30-07-2021,COTTON       ,27170,0.099554836,
31-08-2021,COTTON       ,26900,-0.009937431,
30-09-2021,COTTON       ,28140,0.046096654,
29-10-2021,COTTON       ,30990,0.101279318,
30-11-2021,COTTON       ,31620,0.020329138,0.576271186
31-12-2021,COTTON       ,33470,0.058507274,0.653656126
31-01-2022,COTTON       ,36700,0.096504332,0.759348035
28-02-2022,COTTON       ,36910,0.005722071,0.680783242
31-03-2022,COTTON       ,43370,0.17502032,1.011595547
29-04-2022,COTTON       ,45400,0.046806548,1.058956916
31-05-2022,COTTON       ,48120,0.059911894,1.082215491
30-06-2022,COTTON       ,45370,-0.057148795,0.836098745
21-07-2022,COTTON       ,43960,-0.031077805,0.617960986
30-11-2020,CPO          ,872,,
31-12-2020,CPO          ,972.2,0.114908257,
29-01-2021,CPO          ,946,-0.026949187,
26-02-2021,CPO          ,1076.5,0.13794926,
31-03-2021,CPO          ,1132.4,0.051927543,
30-04-2021,CPO          ,1218.6,0.076121512,
31-05-2021,CPO          ,1177.6,-0.033645167,
30-06-2021,CPO          ,1042.9,-0.11438519,
30-07-2021,CPO          ,1186.4,0.137597085,
31-08-2021,CPO          ,1200.1,0.011547539,
30-09-2021,CPO          ,1141.9,-0.048495959,
29-10-2021,CPO          ,1143.5,0.001401173,
30-11-2021,CPO          ,1125.6,-0.015653695,0.290825688
31-12-2021,CPO          ,1092.3,-0.029584222,0.123534252
31-01-2022,CPO          ,1185.6,0.085416094,0.253276956
28-02-2022,CPO          ,1399.7,0.180583671,0.300232234
31-03-2022,CPO          ,1424.1,0.017432307,0.25759449
29-04-2022,CPO          ,1592.4,0.118179903,0.306745446
30-11-2020,CRUDEOIL     ,3326,,
31-12-2020,CRUDEOIL     ,3524,0.059530968,
29-01-2021,CRUDEOIL     ,3820,0.08399546,
26-02-2021,CRUDEOIL     ,4604,0.205235602,
31-03-2021,CRUDEOIL     ,4384,-0.047784535,
30-04-2021,CRUDEOIL     ,4723,0.077326642,
31-05-2021,CRUDEOIL     ,4870,0.031124285,
30-06-2021,CRUDEOIL     ,5492,0.127720739,
30-07-2021,CRUDEOIL     ,5517,0.004552076,
31-08-2021,CRUDEOIL     ,5026,-0.088997644,
30-09-2021,CRUDEOIL     ,5571,0.108436132,
29-10-2021,CRUDEOIL     ,6264,0.124394184,
30-11-2021,CRUDEOIL     ,4896,-0.218390805,0.472038485
31-12-2021,CRUDEOIL     ,5625,0.148897059,0.596197503
31-01-2022,CRUDEOIL     ,6561,0.1664,0.717539267
28-02-2022,CRUDEOIL     ,7291,0.111263527,0.583622937
31-03-2022,CRUDEOIL     ,7766,0.065148814,0.771441606
29-04-2022,CRUDEOIL     ,8117,0.045197013,0.718611052
31-05-2022,CRUDEOIL     ,9026,0.111987187,0.85338809
30-06-2022,CRUDEOIL     ,8387,-0.07079548,0.527130371
21-07-2022,CRUDEOIL     ,7778,-0.072612376,0.40982418
30-11-2020,GOLD         ,47792,,
31-12-2020,GOLD         ,50151,0.049359725,
29-01-2021,GOLD         ,49096,-0.02103647,
26-02-2021,GOLD         ,45736,-0.068437347,
