Symbol,Turnover
 Gold ,"74,143"
 Gold Mini ,"18,215"
 Gold Guinea ,290
 Gold Petals ,370
 Silver ,"80,890"
 Silver Mini ,"34,589"
 Silver Micro ,"28,867"
 Aluminium ,"15,565"
 Copper ,"44,335"
 Lead ,"2,756"
 Nickel ,1
 Zinc ,"18,406"
 Cotton ,"2,563"
 CPO ,0
 Mentha Oil ,326
 Kapas ,0
 Rubber ,0
 Crude Oil ,"95,607"
 Natural Gas  ,"1,50,144"
 iCOMDEX Bullion  ,"2,437"
 iCOMDEX Energy ,0
 iCOMDEX Metal ,0
 Gold ,"10,813"
 Gold Mini ,968
 Silver ,"4,846"
 Silver Mini ,737
 Copper ,26
 Nickel ,0
 Zinc ,1
 Crude Oil ,"3,56,918"
 Natural Gas  ,"1,02,873"
